,corp_code,ceo_nm
343,112387,정기웅
344,423539,권순종
345,103981,채길순
346,416478,이상희
347,418801,권상녕
348,419332,윤은주
349,418078,김세겸
350,419651,김태효
351,251695,정병옥
352,432661,김성진
353,432661,김한
355,430858,안해동
356,432670,김재만
357,434827,권호진
358,434872,박용국
359,434881,표현용
360,434906,김병수
361,434915,이지형
362,434924,이지형
363,434933,김찬주
364,435093,국경오
365,435109,황길영
366,431820,송병철
367,398525,정병훈
368,260967,이종석
369,378956,이재열
370,164104,박영서
371,101266,김진철
372,412834,안수한
373,226343,김채진
374,150147,홍호정
375,416937,구본근
376,132497,공병환
377,216461,김종명
378,369301,강정모
379,360106,오완교
380,183710,이좌영
381,183710,이우영
383,410483,김원만
384,409928,조영관
385,209647,김용진
386,370316,김일상
387,134246,손현수
388,444806,서정률
389,233112,나영열
390,297758,최윤집
391,450986,윤만녀
392,442206,김성열
393,361664,김광호
394,370334,김경식
395,432616,정인견
396,444073,우용식
397,405436,박창재
398,414319,최현규
399,261610,박남은
400,362432,공병래
401,415293,김광일
402,413204,박용석
403,413277,원종태
404,268455,박성수
405,273606,홍성수
406,303369,김현철
407,317043,김재나
408,328517,김경주
409,341776,장상걸
410,362131,최근구
411,427492,이인영
412,363413,김영훈
413,302829,강보식
414,426758,정봉문
415,427474,하준철
416,428695,김해인
417,366508,서학수
418,402208,다까하시요시미
419,175021,사쟈드라즈비
420,429250,H. Konig
421,425777,전현주
422,109125,김동준
423,388810,이헌복
424,383426,허필석
425,146676,최병길
426,146676,이현희
428,338152,김관식
429,438902,조은경
430,432856,이광순
431,431033,임성택
432,240866,양철원
433,440934,김성원
434,440952,이용섭
435,435905,이혁배
436,435598,이영모
437,350136,이교식
438,350206,NAUTA  HWANG
439,268288,유난주
440,105846,구본준
441,350756,박용국
442,149497,강석문
443,264778,김태훈
444,289227,윤창선
445,449184,김삼선
446,369028,유병봉
447,152491,양준일
448,152491,김은규
450,445601,남창룡
451,407610,이등구
452,146241,박병호
453,446071,이연근
454,368384,이영식
455,446840,이자영
456,245791,안영수
457,449625,신호범
458,375223,박행수
459,411631,서기종
460,256326,장병수
461,367330,홍기철
462,371838,이진수
463,246480,이학수
464,359304,김기문
465,415600,김덕환
466,422910,이용인
467,451055,이상달
468,448839,백봉
469,234670,정승환
470,224707,석철관
471,193568,강태갑
472,415080,김근범
473,415053,박영애
474,414869,변재국
475,365527,김권
476,364245,최주환
477,364005,백기언
478,364005,이진용
480,413329,박요일
481,215222,배기일
482,252481,이인호
483,369897,김진형
484,310855,데이비드얼무어
485,370015,문정식
486,303448,심상규
487,404394,황인태
488,201946,임오랑
489,304207,장형식
490,305093,이춘성
491,410720,윤영철
492,354354,알버트피호슈
493,311049,안무상
494,412782,장대순
495,426615,안철우
496,164061,이정모
497,381659,박태용
498,382959,이해봉
499,118886,손정열
500,374835,임태주
501,115700,윤준식
502,389192,정회성
503,346452,신재철
504,420356,전명순
505,425528,이우근
506,427784,한은경
507,244297,박영국
508,428817,이진홍
509,425740,김영애
510,389086,김성조
511,425759,송병건
512,426721,조정연
513,426651,권상녕
514,427951,Frank Monks
515,448112,박대식
516,446655,박옥수
517,357111,정일공
518,360717,허재회
519,411321,김인식
520,193221,박영호
521,407595,장의식
522,147417,정정근
523,367075,김경율
524,448501,이종식
525,197856,곽재호
526,378017,성현기
527,207384,하영무
528,233927,삼미루트피
529,255372,김영한
530,246693,이치우
531,367932,이보
532,334341,양학수
533,190224,남재희
534,448291,홍형선
535,445391,이승철
536,169321,김상만
537,434076,노혜경
538,205128,최좌진
539,450250,한동석
540,368126,오정훈
541,175386,장수진
542,205748,이동준
543,358378,송용식
544,221409,데렉데이몬드
545,414328,신용호
546,188061,강춘근
547,409982,전지수
548,134149,이철웅
549,414461,구교철
550,304508,이학준
551,247753,정문재
552,368816,정연태
553,366085,안세환
554,412302,박성수
555,387246,박창환
556,265050,최철규
557,236182,이규서
558,296555,임두영
559,327226,조성구
560,412852,육정호
561,143970,박재영
562,301404,박노철
563,109541,최복영
564,404880,주대규
565,393858,이종웅
566,385123,서영국
567,429010,이지연
568,424963,고경미
569,425768,이인옥
570,426749,최태선
571,330415,김성은
572,150794,정진택
573,429038,이상인
574,429117,Mitsuhiko Fujiwara
575,421081,황재훈
576,361734,조태용
577,388768,이영님
578,425421,이익수
579,421850,김규완
580,425315,최진영
581,427580,이유재
582,425218,윤석권
583,106951,김노언
584,395661,오충환
585,275118,조영찬
586,295389,이해욱
587,389147,송근석
588,126803,김광식
589,242341,차재홍
590,440314,사수경
591,440332,엄지혜
592,441322,노덕준
593,440165,하라세이치
594,288884,김관오
595,148452,이택용
596,156017,김승유
597,261045,최수형
598,437532,이준희
599,303095,김일수
600,438753,Barry Skalka
601,367464,조영재
602,201955,강신수
603,409849,김상춘
604,131443,최좌진
605,174022,김도균
606,444763,이근원
607,412171,임소숙
608,232973,이영인
609,152419,신상호
610,257413,임광택
611,362511,윤행옥
612,446743,김기택
613,253055,허경호
614,448714,김영철
615,448705,김종선
616,101716,권혁천
617,447876,차도윤
618,448671,민영성
619,217150,임평환
620,164344,전영채
621,164344,윤석록
623,303314,신갑식
624,451213,김진호
625,407416,이승화
626,178675,김갑년
627,367181,박선원
628,439062,장세곤
629,413514,신호상
630,127538,송정섭
631,370051,김유산
632,415123,이득상
633,106012,한종언
634,158495,오진열
635,299774,이지원
636,414911,한형남
637,414762,정길현
638,234078,강신택
639,412515,박경애
640,151076,박재복
641,170512,심상훈
642,370033,이용호
643,406587,문병훈
644,413471,박종채
645,248804,이원훈
646,359854,남현철
647,252870,전현수
648,300432,한은섭
649,415938,강기원
650,370714,김도연
651,345693,강용수
652,426226,고석수
653,426235,원종승
654,376505,박영규
655,427058,민윤기
656,427100,손성필
657,427331,신동석
658,429144,이상헌
659,429180,강성
660,419916,양기영
661,421009,김경준
662,363796,김진석
663,302148,윤종석
664,426314,김경용
665,427146,N. Pearson & S. Mobbs
666,245065,피터웨닝크
667,427182,이병훈
668,427182,이황상
670,382852,조미선
671,362113,나종민
672,220756,이영준
673,162319,이민
674,355511,Constantine S. Macricostas
675,400176,김순철
676,396402,이준열
677,439938,최수일
678,337977,Paul G. Haaga
679,337977,
681,436047,김철민
682,436047,양해준
684,387097,김혜숙
685,274410,이도엽
686,328100,오세문
687,243845,김용래
688,336260,JOHN KANE
689,262026,홍희중
690,264431,황운연
691,264495,이원재
692,267067,이채형
693,290791,김무성
694,297837,장길호
695,429162,공태국
696,203643,김진수
697,450108,우양
698,171414,박근우
699,200549,이충헌
700,114543,이승무
701,197607,임일호
702,258263,이수칠
703,363617,권영일
704,450287,목정석
705,413082,박상석
706,449537,고병열
707,163071,박경숙
708,453239,최두영
709,414267,정재구
710,349088,최영수
711,451514,최재홍
712,386830,고연진
713,410128,김진하
714,161198,정인봉
715,126849,김정국
716,437824,김선용
717,363176,이영기
718,299871,이선호
719,336686,이종형
720,340892,심호섭
721,415725,고순종
722,306205,이종린
723,371351,박병선
724,369851,장병수
725,415840,윤강렬
726,246666,김의철
727,153296,함대엽
728,161268,정세능
729,210476,이진구
730,365581,고정
731,183598,한재관
732,417088,강정구
733,415062,정영
734,172529,강태헌
735,407337,기위호
736,405092,문재철
737,226060,강길성
738,206349,김향실
739,217035,오철석
740,224318,김대경
741,424945,우상훈
742,428604,이균원
743,424565,박병호
744,226574,김성호
745,425157,서상길
746,427340,박희수
747,427429,조형일
748,420453,이준희
749,403696,구자혁
750,417592,김재철
751,365998,전재호
752,412913,김형태
753,421355,김석재
754,426439,박재천
755,427386,임진화
756,167129,이지웅
757,217707,김길중
