,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
88,156150,제 32 기,20180402,,"-11,013,601,108","-12,293,829,510"
89,114154,제 41 기,20181026,,"2,276,868,605","1,127,078,053"
90,492353,제 18 기,20180330,"18,643,858,565","-1,672,388,416","-3,003,179,396"
91,205003,제 25 기,20180402,"119,282,907,445","-5,369,066,734","-8,815,133,771"
92,164788,제 41 기,20180328,,,"1,427,449,000,000"
93,157636,제 54 기,20180330,,,"7,026,093,512"
94,145914,제 34 기,20171229,"98,433,182,060","3,105,506,283","2,014,666,139"
95,159564,제 31 기,20180330,"29,920,639,789","-2,088,619,692","-4,725,308,836"
96,138279,제 43 기,20180402,,"1,374,649,000,000","1,249,156,000,000"
97,118521,제 42 기,20180629,"22,095,218,407","-23,473,750,853","-21,847,956,162"
98,159023,제 34 기,20180402,,,"1,331,114,000,000"
99,410739,제 20 기,20180329,,"-3,167,951,981","-19,529,065,835"
100,526951,제 15 기,20180330,"87,220,106,031","4,929,136,906","1,161,095,115"
101,155151,제 33 기,20180402,,,"59,034,375,604"
102,269241,제 30 기,20180330,,,"-5,295,843,382"
103,127255,제 55 기,20180330,,"-6,346,727,538",
104,261443,제 21 기,20180330,,"618,976,087,089","471,574,246,385"
105,610490,제 26 기,20180402,"94,899,276,824","5,651,144,157","3,625,048,255"
106,261957,제 28 기,20180330,"143,411,685,573","832,562,070","630,641,038"
107,609634,제 12 기,20180329,,"5,881,159,505","-3,687,615,276"
108,618410,제 14 기,20180402,,,"-3,510,229,092"
109,159193,제 57 기,20180330,"59,965,739,000,000","1,553,554,000,000","1,506,852,000,000"
110,142713,제 42 기,20180330,,,"-27,563,804,307"
111,153861,제 45 기,20180612,,,"59,098,825,284"
112,216647,제 27 기,20180615,,"45,030,485,829","27,309,458,138"
113,468374,제 15 기,20180330,"155,263,104,803","26,979,343,285","20,864,030,036"
114,169048,제 56 기,20180830,"15,686,212,200","-467,593,312","-739,374,733"
115,104698,제 68 기,20180330,"235,484,215,905","9,773,220,894","8,333,579,750"
116,363510,제 19 기,20180402,"44,893,094,504","-1,756,889,273","-9,146,575,366"
117,100939,제 66 기,20181231,,,"16,654,666,449"
118,753643,제 9 기,20180608,"63,031,654,225","-9,013,613,221","-6,432,126,907"
119,159810,제 48 기,20180330,"541,296,270,175","24,242,061,627","12,348,740,628"
120,118804,제 45 기,20180330,"631,272,540,789","53,357,193,055","37,822,419,481"
