,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
30,540641,제 13 기,20180402,"25,191,506,452 ","185,985,807,983 ","211,177,314,435 ","62,167,522,593 ","23,419,900,890 ","85,587,423,483 ","13,762,255,000 ","64,900,731,074 ","125,589,890,952 "
31,203315,제 31 기,20180402,"55,998,485,580 ","321,323,796,843 ","377,322,282,423 ","117,272,498,280 ","17,302,485,372 ","134,574,983,652 ","57,034,491,000 ","9,733,837,326 ","242,747,298,771 "
32,125965,제 30 기,20180402,"69,674,454,233 ","17,805,373,754 ","87,479,827,987 ","4,791,167,772 ","30,000,000 ","4,821,167,772 ","4,750,000,000 ","60,542,443,259 ","82,658,660,215 "
33,815369,제 8 기,20180402,"75,648,924,213 ","81,932,052,109 ","157,580,976,322 ","16,435,613,304 ","3,254,669,772 ","19,690,283,076 ",,,"137,890,693,246 "
34,440712,제 20 기,20180803,"9,994,557,842 ","16,878,506,172 ","26,873,064,014 ","3,161,942,764 ","352,703,098 ","3,514,645,862 ","4,612,684,500 ","-9,740,379,537 ","23,358,418,152 "
35,102113,제 41 기,20180330,"125,062,665,559 ","171,846,418,665 ","296,909,084,224 ","93,894,859,887 ","12,170,122,056 ","106,064,981,943 ","20,198,182,500 ","133,022,973,708 ","190,844,102,281 "
36,569646,제 14 기,20181130,"132,841,859,914 ","29,311,618,290 ","162,153,478,204 ","111,495,057,457 ","15,523,354,000 ","127,018,411,457 ","6,092,233,000 ","17,754,835,580 ","35,135,066,747 "
37,127158,제 51 기,20180402,"7,755,325,906 ","23,571,481,428 ","31,326,807,334 ","5,349,423,478 ","5,303,964,133 ","10,653,387,611 ","22,393,769,000 ","-23,182,751,424 ","20,673,419,723 "
38,192499,제 27 기,20180404,"183,223,905,177 ","213,908,208,572 ","397,132,113,749 ","197,488,663,660 ","24,778,281,469 ","222,266,945,129 ","45,974,044,500 ","94,558,807,846 ","174,865,168,620 "
39,204208,제 33 기,20180330,"41,229,717,740 ","180,583,250,091 ","221,812,967,831 ","99,495,383,642 ","31,242,466,850 ","130,737,850,492 ","58,362,738,500 ","-18,691,777,130 ","91,075,117,339 "
40,418379,제 19 기,20180604,"29,005,054,557 ","11,802,722,695 ","40,807,777,252 ","11,356,771,361 ","1,041,999,230 ","12,398,770,591 ","16,974,678,500 ","-15,751,601,367 ","28,409,006,661 "
41,153375,제 36 기,20180330,"275,317,796,143 ","178,692,544,057 ","454,010,340,200 ","28,685,098,542 ","6,153,817,222 ","34,838,915,764 ","13,250,000,000 ","384,741,034,743 ","419,171,424,436 "
42,674498,제 18 기,20180402,"46,961,353,448 ","489,283,418,919 ","536,244,772,367 ","37,343,445,115 ","18,826,864,444 ","56,170,309,559 ","21,418,409,000 ","169,570,716,352 ","480,074,462,808 "
43,124726,제 52 기,20180402,"355,056,895,467 ","277,172,412,234 ","632,229,307,701 ","93,174,725,619 ","12,953,310,577 ","106,128,036,196 ","49,756,205,000 ",,"526,101,271,505 "
44,393469,제 31 기,20191108,"9,231,384,072 ","65,424,494,041 ","74,655,878,113 ","33,354,679,342 ","137,500 ","33,354,816,842 ","5,289,936,000 ","-12,065,889,009 ","41,301,061,271 "
45,149804,제 63 기,20180406,"84,536,097,353 ","274,664,322,986 ","359,200,420,339 ","224,471,567,348 ","14,617,565,837 ","239,089,133,185 ","49,689,816,000 ",,"120,111,287,154 "
46,305297,제 31 기,20180329,"248,312,128,651 ","53,607,248,134 ","301,919,376,785 ","37,222,203,410 ","3,312,463,727 ","40,534,667,137 ","7,787,276,000 ","183,838,119,692 ","261,384,709,648 "
47,910840,제 7 기,20180330,"49,964,605,589 ","52,801,454,683 ","102,766,060,272 ","26,217,081,958 ","24,681,584,904 ","50,898,666,862 ","4,931,544,500 ","30,445,277,596 ","51,867,393,410 "
48,617998,제 26 기,20180402,"23,998,854,166 ","13,986,440,250 ","37,985,294,416 ","13,636,548,697 ","2,016,000,000 ","15,652,548,697 ","1,816,500,000 ","16,543,645,719 ","22,332,745,719 "
49,453929,제 18 기,20180824,"45,333,538,662 ","101,585,191,003 ","146,918,729,665 ","5,173,057,539 ","34,899,815,902 ","40,072,873,441 ","3,929,210,500 ","-27,483,265,609 ","106,845,856,224 "
50,121969,제 47 기,20180330,"24,452,058,715 ","68,702,809,946 ","93,154,868,661 ","56,522,499,050 ","2,600,254,541 ","59,122,753,591 ","5,481,961,500 ","-6,845,226,957 ","34,032,115,070 "
51,136402,제 48 기,20180402,"10,476,891,989 ","143,108,795,728 ","153,585,687,717 ","169,801,605 ","21,406,181,039 ","21,575,982,644 ","5,914,429,000 ","57,992,351,080 ","132,009,705,073 "
52,482426,제 19 기,20180330,"70,393,509,975 ","123,195,311,808 ","193,588,821,783 ","71,420,250,550 ","1,770,199,982 ","73,190,450,532 ","4,665,852,500 ","70,643,720,518 ","120,398,371,251 "
53,132318,제 38 기,20180511,"226,531,644,309 ","242,682,748,933 ","469,214,393,242 ","20,472,136,175 ","11,807,239,510 ","32,279,375,685 ","14,300,000,000 ",,"436,935,017,557 "
54,620558,제 14 기,20180330,"63,736,654,346 ","78,956,295,852 ","142,692,950,198 ","42,014,312,741 ","6,007,532,789 ","48,021,845,530 ","36,894,322,500 ","41,226,823,085 ","94,671,104,668 "
55,360142,제 18 기,20180330,"582,763,933,339 ","156,041,674,497 ","738,805,607,836 ","358,407,905,559 ",0 ,"358,407,905,559 ","18,166,670,000 ","251,654,366,356 ","380,397,702,277 "
56,108977,제 49 기,20180330,"55,571,512,527 ","416,271,522,338 ","471,843,034,865 ","91,058,496,558 ","29,504,859,641 ","120,563,356,199 ","54,129,465,000 ","231,194,258,232 ","351,279,678,666 "
57,110608,제 54 기,20180330,"95,691,506,955 ","98,756,628,835 ","194,448,135,790 ","56,534,807,067 ","406,828,444 ","56,941,635,511 ","8,000,000,000 ","114,038,820,023 ","137,506,500,279 "
58,100601,제 43 기,20180402,"66,557,787,965 ","21,223,628,476 ","87,781,416,441 ","36,681,992,542 ","3,982,403,996 ","40,664,396,538 ","7,626,515,000 ","23,551,833,834 ","47,117,019,903 "
59,157681,제 54 기,20180402,"694,929,462,673 ","887,545,346,001 ","1,582,474,808,674 ","353,560,654,271 ","94,032,794,637 ","447,593,448,908 ","129,000,000,000 ",,"1,134,881,359,766 "
60,351630,제 29 기,20180330,"135,373,825,554 ","167,046,425,335 ","302,420,250,889 ","123,216,999,501 ","42,546,561,324 ","165,763,560,825 ","5,462,959,000 ","104,067,129,700 ","136,656,690,064 "
61,666064,제 19 기,20180330,"14,025,596,447 ","53,466,594,769 ","67,492,191,216 ","10,247,888,309 ","13,946,660,186 ","24,194,548,495 ","11,027,972,500 ","-4,965,483,770 ","43,297,642,721 "
62,1047451,제 4 기,20180330,"22,965,020,343 ","33,030,209,938 ","55,995,230,281 ","21,291,207,826 ","5,884,997,048 ","27,176,204,874 ","6,573,535,500 ","3,705,907,675 ","28,819,025,407 "
63,117300,제 60 기,20180330,"101,914,013,982 ","146,982,223,242 ","248,896,237,224 ","148,607,324,041 ","10,661,867,726 ","159,269,191,767 ","22,342,500,000 ","53,415,886,045 ","89,627,045,457 "
64,501970,제 14 기,20180402,"2,426,359,746 ","30,790,134,414 ","33,216,494,160 ","17,527,990,022 ","5,256,449,707 ","22,784,439,729 ","16,441,383,000 ","-56,250,853,676 ","10,432,054,431 "
65,1049422,제 4 기,20180607,"23,461,167,052 ","4,903,016,000 ","28,364,183,052 ","458,684,382 ","271,393,533 ","730,077,915 ","7,602,052,900 ","-9,182,235,820 ","27,634,105,137 "
66,146861,제 31 기,20180402,"258,250,082,643 ","128,158,015,857 ","386,408,098,500 ","109,049,336,333 ","8,957,329,889 ","118,006,666,222 ","8,950,000,000 ","238,459,481,755 ","268,401,432,278 "
67,112378,제 57 기,20180402,"8,513,802,269 ","119,013,539,266 ","127,527,341,535 ","57,314,916,196 ","18,393,869,114 ","75,708,785,310 ","59,879,833,500 ","-61,913,023,218 ","51,818,556,225 "
68,126308,제 51 기,20180417,"2,516,639,541,324 ","1,690,070,977,086 ","4,206,710,518,410 ","2,431,718,447,561 ","950,335,080,580 ","3,382,053,528,141 ","980,000,000,000 ","-76,162,528,404 ","824,656,990,269 "
69,535375,제 16 기,20180329,"14,578,489,413 ","1,999,515,014 ","16,578,004,427 ","2,749,237,375 ","343,985,710 ","3,093,223,085 ","3,508,455,500 ","8,056,903,877 ","13,484,781,342 "
70,301246,제 20 기,20180402,"143,206,170,263 ","375,715,249,098 ","518,921,419,361 ","62,178,737,123 ","249,756,742,714 ","311,935,479,837 ","70,795,603,500 ","-214,614,537,868 ","206,985,939,524 "
71,1065013,제 3 기,20180618,"19,916,295,544 ","11,482,538,790 ","31,398,834,334 ","10,983,161,855 ","2,091,235,533 ","13,074,397,388 ","2,169,744,300 ","984,222,841 ","18,324,436,946 "
