,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
102,269241,제 30 기,20180330,,,-5295843382 
103,127255,제 55 기,20180330,,-6346727538 ,
104,261443,제 21 기,20180330,,618976087089 ,471574246385 
105,610490,제 26 기,20180402,94899276824 ,5651144157 ,3625048255 
106,261957,제 28 기,20180330,143411685573 ,832562070 ,630641038 
107,609634,제 12 기,20180329,,5881159505 ,-3687615276 
108,618410,제 14 기,20180402,,,-3510229092 
109,159193,제 57 기,20180330,59965739000000 ,1553554000000 ,1506852000000 
110,142713,제 42 기,20180330,,,-27563804307 
111,153861,제 45 기,20180612,,,59098825284 
112,216647,제 27 기,20180615,,45030485829 ,27309458138 
113,468374,제 15 기,20180330,155263104803 ,26979343285 ,20864030036 
114,169048,제 56 기,20180830,15686212200 ,-467593312 ,-739374733 
115,104698,제 68 기,20180330,235484215905 ,9773220894 ,8333579750 
116,363510,제 19 기,20180402,44893094504 ,-1756889273 ,-9146575366 
117,100939,제 66 기,20181231,,,16654666449 
118,753643,제 9 기,20180608,63031654225 ,-9013613221 ,-6432126907 
119,159810,제 48 기,20180330,541296270175 ,24242061627 ,12348740628 
120,118804,제 45 기,20180330,631272540789 ,53357193055 ,37822419481 
121,159698,제 33 기,20180329,,,69878133316 
122,165680,제 45 기,20180402,,,
123,983040,제 5 기,20180402,,44665913000 ,238883994020 
124,923792,제 17 기,20180330,9238807537 ,-5337960222 ,-9645005336 
125,121543,제 45 기,20190225,,,51672558429 
126,441243,제 16 기,20170928,70228766669 ,2108630193 ,4712955740 
127,127954,제 30 기,20180330,,,
128,145446,제 46 기,20180330,213608193650 ,5266123404 ,2729054081 
129,152260,제 35 기,20180330,,,
130,1097906,제 3 기,20180329,,,
131,148443,제 58 기,20180402,,-2129200988 ,516830743482 
132,181943,제 43 기,20180402,,,15329920132 
133,134477,제 55 기,20180314,,-36005754018 ,-28425565348 
134,530121,제 23 기,20190201,,16426872834 ,-25604151675 
135,260392,제 49 기,20180330,495564298124 ,-2684608806 ,652889625 
136,129642,제 43 기,20180402,301012456132 ,28315697925 ,21661110890 
137,132868,제 42 기,20180330,43814621506 ,-4214636084 ,-5184850090 
138,111874,제 50 기,20180402,,,
139,107598,제 54 기,20180921,,,
140,356370,제 17 기,20180402,,,595658910188 
141,328191,제 18 기,20180402,17799376162 ,-3772300776 ,-3749200792 
142,117212,제 81 기,20180330,,,205100275058 
143,359580,제 21 기,20180402,10190466298 ,6071203144 ,4582739593 
144,270113,제 20 기,20180330,8514959609 ,-495733803 ,-1307475878 
145,117188,제 63 기,20180326,8509949686456 ,415424692564 ,316067279114 
146,199252,제 33 기,20180330,22994053167 ,-6775519628 ,-14109735928 
147,140964,제 44 기,20180402,,,
148,173032,제 70 기,20180402,,42462505825 ,35484447583 
149,454399,제 18 기,20180330,39909807994 ,6726723273 ,5604004084 
150,140177,제 47 기,20180330,7946892573110 ,154734672899 ,144814544359 
151,573579,제 12 기,20180402,322734832171 ,-7859232707 ,-7078662485 
152,155124,제 44 기,20180402,,7052847437 ,5472177843 
153,129509,제 39 기,20180402,,10331736105 ,
154,364467,제 19 기,20180622,,-7447417567 ,-12766634104 
155,133812,제 53 기,20180402,570767358535 ,8419415290 ,14579772157 
156,103130,제 44 기,20180417,28103183005 ,-2743956269 ,-8382696272 
157,159616,제 55 기,20180330,,,15779777000 
158,160205,제 44 기,20180330,270434846816 ,10790219118 ,11644296776 
159,525934,제 19 기,20180402,,,46457533652 
160,642541,제 18 기,20180402,14179691598 ,1463912096 ,1361306100 
161,186452,제 27 기,20180330,,199524810 ,-3352682062 
162,244419,제 23 기,20180330,22576838174 ,4140570431 ,3739917496 
163,148896,제 44 기,20180612,,,168896194000 
164,102858,제 44 기,20180405,,,
165,150244,제 66 기,20180411,1664922295167 ,,
166,115977,제 43 기,20180402,1651678798838 ,305580249487 ,180383924587 
167,344287,제 18 기,20180329,,,60471573065 
168,130772,제 28 기,20180330,,14007944893 ,14014096402 
169,155319,제 50 기,20180621,,,2545685288495 
170,297961,제 22 기,20180330,89638145864 ,-744226694 ,-7402564102 
171,158024,제 32 기,20180402,459640265474 ,17199025263 ,6336875264 
172,129280,제 42 기,20180330,31129044624 ,-58987652 ,-3154263639 
173,209780,제 28 기,20180621,,,
174,117629,제 46 기,20180402,,-7914355408 ,-28494671840 
175,267906,제 39 기,20180330,64328988902 ,3739359938 ,-415765104 
176,163691,제 80 기,20180402,,4518151294 ,-10597456278 
177,234227,제 25 기,20180402,36195748048 ,-1988191124 ,-4966206232 
178,1043853,제 4 기,20180330,,,-10333191780 
179,153755,제 53 기,20180402,338292737766 ,11725695169 ,1091132145 
180,160588,제 66 기,20180611,,259100000000 ,160342000000 
181,288495,제 30 기,20180608,,,
182,353878,제 22 기,20180328,223311390824 ,21047021660 ,18631925403 
183,442905,제 19 기,20180614,42539088475 ,3392847142 ,2282260056 
184,107613,제 46 기,20180402,301678448917 ,11635335304 ,-14602361550 
185,390408,제 27 기,20180402,65211588120 ,8579749716 ,8146290147 
186,141413,제 41 기,20180402,,,
187,159342,제 32 기,20180328,,37209514000 ,24868313000 
188,166227,제 49 기,20180330,,,
189,918222,제 10 기,20190325,,-8662000224 ,-14161769761 
190,119195,제 89 기,20180618,,10987308187 ,47009013175 
191,126487,제 47 기,20180413,560952332180 ,97887231751 ,74706935942 
192,127802,제 53 기,20180330,,,
193,563837,제 18 기,20180402,,,-12902408233 
194,149947,제 62 기,20181024,502918586614 ,21539938607 ,-1357191314 
195,151128,제 44 기,20180402,,,
196,503668,제 16 기,20180402,1760325842149 ,4435777203 ,-8628211424 
197,139889,제 45 기,20180402,1403473050602 ,139248607560 ,37918445851 
198,265324,제 24 기,20180330,,,
199,141307,제 67 기,20180402,1458392216330 ,24919001717 ,59988870455 
200,1113949,제 17 기,20180402,,-7784888040 ,-8285055521 
201,112970,제 65 기,20180403,,-8878328428 ,-16966507141 
202,362858,제 19 기,20180402,439734665960 ,,-975602694 
203,781202,제 40 기,20180430,33001653 ,-7829884 ,-18923441 
204,809429,제 8 기,20180419,21692056242 ,94410328 ,28654701859 
205,117708,제 41 기,20180402,,38735372774 ,29065988695 
206,791209,제 9 기,20180612,8510642221 ,-3137237898 ,-6537566113 
207,406727,제 22 기,20180326,13607354350 ,-1924866774 ,-6225833134 
208,193009,제 35 기,20180330,,7379171172 ,3481220846 
209,757816,제 26 기,20180402,,-21657754233 ,-37348482024 
210,146436,제 34 기,20180409,,795796209 ,10729685183 
211,121534,제 40 기,20180330,,10452914394 ,5903108321 
212,351092,제 31 기,20180330,,9682664957 ,1086553501 
213,125822,제 43 기,20180402,308682930254 ,-5058882909 ,-10215657576 
214,121686,제 36 기,20180625,,5001357014 ,1930822188 
215,111704,제 18 기,20180523,,,739144216539 
216,111218,제 44 기,20180402,17135925262 ,-10193055914 ,-16986926617 
217,216762,제 30 기,20180329,638243088827 ,29725642659 ,27895356384 
218,536541,제 20 기,20181206,40605615299 ,487450031 ,4958769457 
219,296324,제 30 기,20180402,12621097591 ,-2275802480 ,-30776941031 
220,151605,제 39 기,20180330,22205940577 ,-219723977 ,-561230732 
221,197476,제 25 기,20180402,,17050025617 ,14376279834 
